file,stimulus,condition,block,corrAns,,,
images/man_office war sandbags.jpg,man_office war sandbags.jpg,Implausible,1,n,,,
images/USB plugged into hair.jpg,USB plugged into hair.jpg,Implausible,1,n,,,
images/salting turf.jpg,salting turf.jpg,Implausible,1,n,,,
images/man_home office.jpg,man_home office.jpg,Plausible,1,c,,,
images/office presentation in desert.jpg,office presentation in desert.jpg,Implausible,1,n,,,
images/person walking on car.jpg,person walking on car.jpg,Implausible,1,n,,,
images/pope drilling.jpg,pope drilling.jpg,Implausible,1,n,,,
images/woman singing into sunflower.jpg,woman singing into sunflower.jpg,Implausible,1,n,,,
images/man_golfing.jpg,man_golfing.jpg,Plausible,1,c,,,
images/office worker_ballet in desert.jpg,office worker_ballet in desert.jpg,Implausible,1,n,,,
images/sawing loaf of bread.jpg,sawing loaf of bread.jpg,Implausible,1,n,,,
images/woman sewing hair.jpg,woman sewing hair.jpg,Implausible,1,n,,,
images/boxer training.jpg,boxer training.jpg,Plausible,1,c,,,
images/using pump to inflate foot.jpg,using pump to inflate foot.jpg,Implausible,1,n,,,
images/girl_ballet barre.jpg,girl_ballet barre.jpg,Plausible,1,c,,,
images/office woman_head in bag.jpg,office woman_head in bag.jpg,Implausible,1,n,,,
images/man_jumping into water.jpg,man_jumping into water.jpg,Plausible,1,c,,,
images/woman_reading w multiple glasses.jpg,woman_reading w multiple glasses.jpg,Implausible,1,n,,,
images/man_office couch.jpg,man_office couch.jpg,Plausible,1,c,,,
images/watering can on feet.jpg,watering can on feet.jpg,Implausible,1,n,,,
images/woman drinking car engine oil.jpg,woman drinking car engine oil.jpg,Implausible,1,n,,,
images/girl_spaghetti.jpg,girl_spaghetti.jpg,Plausible,1,c,,,
images/man_snowkiting.jpg,man_snowkiting.jpg,Plausible,1,c,,,
images/woman dancing w skeleton.jpg,woman dancing w skeleton.jpg,Implausible,1,n,,,
images/man_wind instrument in water.jpg,man_wind instrument in water.jpg,Implausible,1,n,,,
images/man_mtn biking.jpg,man_mtn biking.jpg,Plausible,1,c,,,
images/girl_jumping broken bridge.jpg,girl_jumping broken bridge.jpg,Plausible,1,c,,,
images/boy_walking dog.jpg,boy_walking dog.jpg,Plausible,1,c,,,
images/windsurfing on tubes.jpg,windsurfing on tubes.jpg,Implausible,1,n,,,
images/man_office file cabinets.jpg,man_office file cabinets.jpg,Plausible,1,c,,,
images/swimming in ice on cell phone.jpg,swimming in ice on cell phone.jpg,Implausible,1,n,,,
images/chefs_menu.jpg,chefs_menu.jpg,Plausible,1,c,,,
images/boy and man_raking leaves.jpg,boy and man_raking leaves.jpg,Plausible,1,c,,,
images/man_crossing urban street.jpg,man_crossing urban street.jpg,Plausible,1,c,,,
images/office woman_plastic wrap on face and hands.jpg,office woman_plastic wrap on face and hands.jpg,Implausible,1,n,,,
images/lifeguard at beach.jpg,lifeguard at beach.jpg,Plausible,1,c,,,
images/man_hotel bed.jpg,man_hotel bed.jpg,Plausible,1,c,,,
images/man_drinking water.jpg,man_drinking water.jpg,Plausible,1,c,,,
images/man_office cabinet in water.jpg,man_office cabinet in water.jpg,Implausible,1,n,,,
images/kid_fishing.jpg,kid_fishing.jpg,Plausible,1,c,,,
images/ping pong at breakfast table.jpg,ping pong at breakfast table.jpg,Implausible,1,n,,,
images/man_eating pizza.jpg,man_eating pizza.jpg,Plausible,1,c,,,
images/construction worker_on site.jpg,construction worker_on site.jpg,Plausible,1,c,,,
images/business man jumping over briefcase.jpg,business man jumping over briefcase.jpg,Implausible,1,n,,,
images/hospital patient.jpg,hospital patient.jpg,Plausible,1,c,,,
images/office people with drums.jpg,office people with drums.jpg,Implausible,1,n,,,
images/man_making small boats.jpg,man_making small boats.jpg,Plausible,1,c,,,
images/punching milk.jpg,punching milk.jpg,Implausible,1,n,,,
images/man at bar.jpg,man at bar.jpg,Plausible,1,c,,,
images/kneading dough.jpg,kneading dough.jpg,Plausible,1,c,,,
images/man_winter running outside.jpg,man_winter running outside.jpg,Implausible,1,n,,,
images/woman in desert with satellite.jpg,woman in desert with satellite.jpg,Implausible,1,n,,,
images/robot vacuuming.jpg,robot vacuuming.jpg,Implausible,1,n,,,
images/office men_hula hoop.jpg,office men_hula hoop.jpg,Implausible,1,n,,,
images/meeting with naked woman.jpg,meeting with naked woman.jpg,Implausible,1,n,,,
images/man_playing violin under water.jpg,man_playing violin under water.jpg,Implausible,1,n,,,
images/man_mask in office.jpg,man_mask in office.jpg,Implausible,1,n,,,
images/man and woman_toasting champagne.jpg,man and woman_toasting champagne.jpg,Plausible,1,c,,,
images/robot on couch_maid cleaning floor.jpg,robot on couch_maid cleaning floor.jpg,Implausible,1,n,,,
images/office desk in forest.jpg,office desk in forest.jpg,Implausible,1,n,,,
images/man_courthouse steps.jpg,man_courthouse steps.jpg,Plausible,1,c,,,
images/woman_net catching papers.jpg,woman_net catching papers.jpg,Implausible,1,n,,,
images/girl_playing flute.jpg,girl_playing flute.jpg,Plausible,1,c,,,
images/woman_face in pie.jpg,woman_face in pie.jpg,Implausible,1,n,,,
images/woman_climbing on cabinets.jpg,woman_climbing on cabinets.jpg,Implausible,1,n,,,
images/man_high jump.jpg,man_high jump.jpg,Plausible,1,c,,,
images/man_football practice.jpg,man_football practice.jpg,Plausible,1,c,,,
images/man_praying.jpg,man_praying.jpg,Plausible,1,c,,,
images/man_exercise gym.jpg,man_exercise gym.jpg,Plausible,1,c,,,
images/man_skateboard in city.jpg,man_skateboard in city.jpg,Plausible,1,c,,,
